Name,Description,Section,Assignee,Collaborators,Start Date,Due Date,Type,Tags,Parent Task,Task Category,Client Name,Project Phase,Priority Level,Task Stage,QA Status,Blocked Reason,Completion Notes,Time Spent (hrs),Deliverable Link,Metrics / KPIs,Issues / Blockers Encountered,Assigned Role,Reviewed By,Review Date,Admin Notes,Week Number,Supervisor
Portfolio: 🌐 DGK — Full Business Overview,"Add Portfolio 1 + Portfolio 2 if nested portfolios are available on Advanced. If nested portfolios are not available, add every project from both portfolios into this one portfolio.",4. Portfolios (CSV cannot create portfolios),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Rule 1 — Ready for Review → notify Dilip,"Apply to ALL projects.
Trigger: Task Stage changed to Ready for Review.
Actions: assign Dilip; move to Ready for Dilip Review; QA Status = Pending Dilip Review; comment with the review checklist; due date = today + 1 business day.
Workaround if a project has no matching section name: skip the move or map to that project's review section.",5. Automation rules (CSV cannot create rules),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Rule 2 — Approved → auto close,"Trigger: QA Status = Approved by Dilip.
Actions: Task Stage = Complete; move to Approved & Complete; mark complete; Review Date = today (Asana may not write custom date fields from rules — if so, Dilip fills Review Date); notify original assignee; multi-home to Master Tracker → Approved This Week.
Limitation: rules often cannot store the original assignee. Workaround: keep the original assignee as a collaborator before reassigning to Dilip in Rule 1, then notify collaborators.",5. Automation rules (CSV cannot create rules),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Rule 3 — Revision Required → return to assignee,"Trigger: QA Status = Revision Required.
Actions: Task Stage = Revision Needed; move to Revision Needed; reassign to original assignee (use collaborator workaround if needed); extend due date +1 business day; notify assignee.",5. Automation rules (CSV cannot create rules),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Rule 4 — Overdue → flag + alert Dilip,"Trigger: due date passed AND Task Stage is not Complete and not Approved.
Actions: tag 🔴 OVERDUE; Priority = Critical; notify assignee; notify Dilip; multi-home to Master Tracker → Needs Immediate Attention.
Limitation: Asana has no Task Stage value named Approved (use Complete). Tag names must be created once in the workspace.",5. Automation rules (CSV cannot create rules),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Rule 5 — Blocked → alert Dilip,"Trigger: Task Stage = Blocked.
Actions: tag ⚠️ BLOCKED; add Dilip as collaborator; notify Dilip; multi-home to Needs Immediate Attention; comment to fill Blocked Reason.
48-hour follow-up: native rules cannot wait 48 hours after a field change. Workaround: a second rule on a due date, or a scheduled rule that finds tasks with tag ⚠️ BLOCKED last modified more than 2 days ago.",5. Automation rules (CSV cannot create rules),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Rule 6 — New task missing fields,"Trigger: task added to project.
If no due date / no assignee, comment to creator. Set defaults: Task Stage = Not Started; QA Status = Awaiting Submission; Priority Level = Medium unless already set.",5. Automation rules (CSV cannot create rules),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Rule 7 — Intern inactive 24hrs,"Apply to Intern Training and every Client Operations project.
Native limitation: Asana cannot trigger on Assigned Role = Intern AND no activity for 24 hours in one rule. Workaround: a scheduled rule (daily) filtering Assigned Role = Intern, Task Stage = In Progress, last modified yesterday or earlier. Notify Supervisor (People field) if available; otherwise notify Shuvang and Dilip.",5. Automation rules (CSV cannot create rules),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Rule 8 — Approved task archive to Master Tracker,"Trigger: task completed AND QA Status = Approved by Dilip.
Multi-home to Master Tracker → Approved This Week. Overlaps Rule 2; keep both if Rule 2 cannot multi-home.",5. Automation rules (CSV cannot create rules),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Rule 9 — Monday 8:00 AM reset,Master Tracker only. Move Approved This Week → Full Task History. Notify Dilip. Use a scheduled rule.,5. Automation rules (CSV cannot create rules),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Rule 10 — Completion Notes missing → block submission,"Native limitation: Asana rules cannot read a long-text field and revert another field in one guaranteed native rule on all plans. Workaround: Rule 1 still fires on Ready for Review; add a branch/condition Completion Notes is empty → set Task Stage back to In Progress and comment the assignee. If conditions cannot inspect long text, require Completion Notes in the task description checklist instead.",5. Automation rules (CSV cannot create rules),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Rule 11 — Deliverable Link missing → warn,"On Ready for Review, if Deliverable Link is empty: comment the reminder and notify Dilip. Do not block submission. Same text-field condition limitation as Rule 10; use a URL/text custom field condition if available.",5. Automation rules (CSV cannot create rules),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Dashboard: ⚡ DGK — Daily Morning Briefing,"Admin Command Centre, Dilip only. Widgets: overdue (tag 🔴 OVERDUE); blocked (tag ⚠️ BLOCKED); pending review (QA Status = Pending Dilip Review); bar chart tasks due today by assignee; intern check-ins (tag 👀 NEEDS CHECK-IN and Assigned Role = Intern); completion rate this week.
Limitation: colour thresholds on number charts and 'days blocked' are not always native. Use a report or custom number field if the widget cannot colour-code >80% / 50–80% / <50%.",6. Dashboards (CSV cannot create dashboards),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Dashboard: 📊 DGK — Weekly Performance,"10 widgets as specified: completed by person; time spent by person; category pie; client bar; completion notes list; KPIs list; overdue count; in progress last modified >48h; intern activity; three number widgets.
Limitation: summing Time Spent (hrs) by person needs the number field on tasks and a chart that supports custom number fields (Advanced).",6. Dashboards (CSV cannot create dashboards),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Configure Shuvang My Tasks board,"CSV cannot set another person's My Tasks. Shuvang: My Tasks → Board with columns Today; This Week; In Progress; Overdue; Blocked; Intern Tasks I Supervise (Supervisor = Shuvang); Done This Week. Card fields: Priority, Client Name, Task Category, due date, Task Stage, Assigned Role. Sort due date.",7. My Tasks views (CSV cannot configure other users),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Configure intern My Tasks list,"CSV cannot set intern views or hide other people's tasks beyond Asana privacy. Workaround for 'interns see only their own tasks': do not add interns to full teams as project members; add each intern only as assignee/collaborator on their tasks, or use a private per-intern project. Comment-only / limited roles cannot be fully enforced by CSV. Interns should use list sections: Today + overdue; This Week; In Progress; Blocked; Completed This Week.",7. My Tasks views (CSV cannot configure other users),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Set weekly recurrence on 4 Social Media tasks and intern check-in,Open each task → Set repeating. Social: Mon/Thu/Fri as specified. Intern check-in: every Monday.,8. Recurring schedules (CSV cannot set recurrence),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Pin the 3 SOP tasks to the top of Ongoing Operations,"CSV cannot pin. In Internal Admin, pin TEAM SOP, DILIP SOP, SUPERVISOR SOP. Do not mark them complete.",8. Recurring schedules (CSV cannot set recurrence),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Save client project as Asana template,"After deleting placeholders, save 🏢 CLIENT — [Client Name] as a template so a new client can be created in under 60 seconds.",9. Save client project as Asana template,Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
"Create tags: 🔴 OVERDUE, ⚠️ BLOCKED, 👀 NEEDS CHECK-IN",Create these tags once so rules can apply them.,5. Automation rules (CSV cannot create rules),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
Only Dilip can mark tasks complete,Native limitation: Asana cannot stop assignees from completing tasks. Workaround: SOP + Rule 2 (Dilip approval completes the task) + comment rule if someone else completes a task without QA Status = Approved by Dilip (reopen it and notify Dilip).,5. Automation rules (CSV cannot create rules),Support@dgkbusinessconsultancy.com,,,,Task,,,Internal Admin,DGK Internal,,Critical,Not Started,Awaiting Submission,,,,,,,Admin,,,,,
