timeframe,team,position,location,status,source_url,notes
past,First Nations Programs,First Nations cultural specialist,"Juninga and Terrace Gardens, Darwin / Palmerston",last documented 2021,https://arrcs.org.au/wp-content/uploads/2025/10/arrcs-annual-report-2021-2.pdf,2021 annual review: cultural specialist rotated through Juninga and Terrace Gardens plus other NT aged-care homes.
past,First Nations traineeships,Personal care worker trainee (Cert III Individual Support),Darwin was a program location,closed intake (2024),https://arrcs.org.au/work-with-arrcs/first-nations-traineeships/,2024 intake closed. One intake a year; Darwin remains a form location for the next round (see Future).
past,First Nations traineeships,Hospitality worker trainee (Cert III Commercial Cookery),Darwin was a program location,closed intake (2024),https://arrcs.org.au/work-with-arrcs/first-nations-traineeships/,2024 intake closed.
past,First Nations traineeships,Leisure and lifestyle officer trainee (Cert IV Leisure and Health),Darwin was a program location,closed intake (2024),https://arrcs.org.au/work-with-arrcs/first-nations-traineeships/,2024 intake closed.
past,First Nations traineeships,IT worker trainee (Cert III IT),Darwin was a program location,closed intake (2024),https://arrcs.org.au/work-with-arrcs/first-nations-traineeships/,2024 intake closed.
past,Recruitment,Expression of interest (generic),All locations including Darwin,closed 21 Feb 2022,https://arrcs-external.applynow.net.au/jobs/ARRCSEOI-expression-of-interest,ApplyNow EOI job ARRCSEOI. Page states this job has closed. Not a live Darwin vacancy.
past,Return to Country / Troopy Program,Troopy program trainee,NT program; Darwin mentioned in 2021 review,last documented 2020–21,https://arrcs.org.au/wp-content/uploads/2025/10/arrcs-annual-report-2021-2.pdf,2021 review documents a 2020 Troopy Program trainee pathway. Darwin appears in the same regional story; not Darwin-only.
past,Juninga Centre Aged Care,Refurbishment / capital works team,"Coconut Grove, Darwin",completed,https://arrcs.org.au/wp-content/uploads/2026/04/Arrcs-2025-Binenial-review-Final-Version-Compressed.pdf,"2024–25 snapshot: Juninga refurbishments completed and opened. Event/project, not an ongoing FTE line."
past,Maluka Day Programs,Maluka Day Programs opening team,Palmerston,opened 2022–23,https://arrcs.org.au/wp-content/uploads/2025/10/ARRCS-Biennial-Report-2022-2023-Nov-version-Final.pdf,Opening of Maluka Day Programs in Palmerston recorded in the 2022–23 biennial.
future,First Nations traineeships / administration,First Nations trainee — administration,Darwin,live vacancy,https://apply.arrcs.org.au/arrcs/9792357/,Live on apply.arrcs.org.au (scraped 28 Aug 2026). Apprentice/Trainee. Must identify as Aboriginal or Torres Strait Islander. Classification: Administration & Office Support.
future,Executive / residential services,Executive manager — residential services,"Darwin (NT-wide remit, 12 facilities)",live vacancy,https://apply.arrcs.org.au/arrcs/9784188/,Live on apply.arrcs.org.au (scraped 28 Aug 2026). Full-time. Based Darwin; leads residential aged care across the Territory.
future,First Nations traineeships,Personal care worker trainee (Cert III Individual Support),Darwin (form location),next intake / enquire,https://arrcs.org.au/work-with-arrcs/first-nations-traineeships/,Program still advertised. 2024 intake closed; page says one intake a year. Darwin is a location on the enquiry form.
future,First Nations traineeships,Hospitality worker trainee (Cert III Commercial Cookery),Darwin (form location),next intake / enquire,https://arrcs.org.au/work-with-arrcs/first-nations-traineeships/,Paid on-the-job training with CDU TAFE. Next intake via enquiry form.
future,First Nations traineeships,Leisure and lifestyle officer trainee (Cert IV Leisure and Health),Darwin (form location),next intake / enquire,https://arrcs.org.au/work-with-arrcs/first-nations-traineeships/,Training via Dovaston Training and Assessment Centre. Next intake via enquiry form.
future,First Nations traineeships,IT worker trainee (Cert III IT),Darwin (form location),next intake / enquire,https://arrcs.org.au/work-with-arrcs/first-nations-traineeships/,Training via CDU TAFE. Next intake via enquiry form.
future,Volunteers (Darwin),Volunteer (all advertised volunteer types),Darwin,always recruiting,https://arrcs.org.au/work-with-arrcs/volunteer/,Volunteer page: always looking. Darwin is a location option.
future,Careers pipeline (not a named Darwin ad),Nursing (registered / enrolled),Darwin is named as a Territory workplace,always recruiting,https://arrcs.org.au/work-with-arrcs/careers/,Careers page lists nursing among ongoing career types from tropical Darwin to the Central Desert. Not a live Darwin vacancy on the jobs board (28 Aug 2026).
future,Careers pipeline (not a named Darwin ad),Home care assistance,Darwin is named as a Territory workplace,always recruiting,https://arrcs.org.au/work-with-arrcs/careers/,Careers page lists home care assistance as an ongoing career type. No live Darwin home-care ad on the jobs board (28 Aug 2026).
future,SEEK search (blocked),(none listed — search not readable from this environment),Darwin keywords,blocked,https://www.seek.com.au/jobs?keywords=ARRCS%20Darwin,"SEEK ?keywords=ARRCS Darwin is allowed by our SEEK policy, but this environment gets Cloudflare 403. Individual SEEK /job/ URLs are never fetched. Do not invent SEEK vacancies."
