earnings_date,report_time,symbol,company_name,exchange,country,fiscal_quarter_ending,consensus_eps_forecast,number_of_estimates,last_year_report_date,last_year_eps,eps_yoy_change_pct,earnings_expectation,nasdaq_market_cap,price,daily_change_pct,volume,technical_market_cap,52_week_low,52_week_high,distance_from_52w_low_pct,distance_from_52w_high_pct,rsi_14,rsi_signal,macd,macd_signal_line,macd_direction,sma_20,sma_50,sma_200,ema_20,ema_50,ema_200,trend_structure,bollinger_lower,bollinger_upper,bollinger_position,stochastic_k,stochastic_d,adx,adx_plus_di,adx_minus_di,cci_20,momentum,vwma,atr_14,atr_pct,relative_volume_10d,return_1m_pct,return_3m_pct,return_6m_pct,technical_rating_score,technical_rating,bullish_bearish_signal,moving_average_rating,oscillator_rating,future_bias_not_forecast,one_month_scenario_low,one_month_scenario_high,scenario_range_pct,data_status,earnings_source,technical_source,captured_at_utc
2026-10-05,Time not supplied,CCL,Carnival Corporation Ltd.,NYSE,United States,Aug/2026,1.36,7.0,9/29/2025,1.43,-4.895104895104884,Forecast EPS broadly flat,32159361000.0,23.51,0.1277683134582672,16199341.0,32200452298.000004,23.075,34.03,1.8851570964247166,-30.913899500440788,31.430163155229167,Neutral,-1.0860314243093079,-0.7922988185229011,Bearish,25.874000000000002,26.830199999999987,27.787264999999984,25.388649453640596,26.46457309348014,27.20575054382092,Bearish alignment,22.493932545052193,29.254067454947812,Lower third,9.727735364210098,7.326591170394342,25.981482925648365,12.738974084062113,34.82369589870666,-115.4783768815164,-2.219999999999999,25.589726101458567,0.820618319503453,3.4905075265991194,0.7828632025200599,-20.988069232061832,-14.942112879884222,-8.999419392297268,-0.4454545454545455,Sell,Bearish,Strong Sell,Neutral,Bearish technical bias,19.749454434207973,27.27054556579203,15.995514954453549,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-10-05,https://www.tradingview.com/symbols/NYSE-CCL/,2026-09-06T07:14:29+00:00
2026-09-10,After hours,CPRT,"Copart, Inc.",NASDAQ,United States,Jul/2026,0.39,4.0,9/04/2025,0.41,-4.878048780487796,Forecast EPS broadly flat,31088748500.0,33.72,0.4169148302561066,6589887.0,31218365700.0,26.81,49.16,25.773964938455805,-31.40764849471115,64.08800101053123,Neutral,0.9107413495689265,0.9256294967707862,Bearish,32.204750000000004,30.0821999999999,34.448174999999985,32.228764512805874,31.24913449764569,34.855413804458,Mixed,28.97317843960044,35.43632156039957,Upper third,66.19876011441669,63.34988332554784,30.301979690102947,34.4217366505806,16.612458541303223,69.31456154967047,-0.0799999999999983,32.188675761485776,1.0686174349715574,3.1690908510425784,0.8274460084418752,13.49713901043419,8.564069542820349,-10.533297957017774,0.3787878787878788,Buy,Neutral,Strong Buy,Neutral,Neutral / mixed technical bias,28.822979715293286,38.61702028470671,14.52259870909464,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-10,https://www.tradingview.com/symbols/NASDAQ-CPRT/,2026-09-06T07:14:29+00:00
2026-09-09,Pre-market,SUNB,"Sunbelt Rentals Holdings, Inc.",NYSE,United States,Jul/2026,0.99,1.0,N/A,,,Insufficient EPS comparison,27040100400.0,68.59,3.9399909077133035,21799943.0,28118302380.0,61.03,86.675,12.38735048336883,-20.865301413325632,36.2408260288222,Neutral,-2.484520525123699,-1.1999089118402606,Bearish,75.8015,74.9238,,73.43980969372372,75.04559291133901,,Unavailable,65.10174247938308,86.50125752061693,Lower third,9.866085081710784,6.073028029468776,24.967820912372552,13.426311579942144,33.04378553760432,-126.17732307676596,-8.289999999999992,72.17717694802789,2.911036504330038,4.244112121781656,2.665339479002774,-13.896560381621885,-14.593450379778359,-6.310613304193404,-0.29370629370629375,Sell,Neutral,Strong Sell,Buy,Neutral / mixed technical bias,55.24995486812796,81.93004513187205,19.448965055944075,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-09,https://www.tradingview.com/symbols/NYSE-SUNB/,2026-09-06T07:14:29+00:00
2026-09-08,After hours,CASY,"Caseys General Stores, Inc.",NASDAQ,United States,Jul/2026,6.59,7.0,9/08/2025,5.77,14.211438474870022,Forecast EPS growth,28065267700.0,756.09,-0.3072176366656902,405407.0,27979045913.999996,497.38,927.85,52.014556274880384,-18.511612868459338,35.41561392736864,Neutral,-23.961886599143895,-16.184233392805762,Bearish,812.0614999999995,826.7225999999998,727.1114249999991,798.8603535446515,816.0713324010236,737.7602847349801,Mixed,728.4382909548829,895.684709045116,Lower third,11.237205333991241,12.43880727262762,19.348739895652475,15.38334247693025,29.8000284755719,-100.11151336782373,-79.64999999999998,804.4521004068239,25.616083910967973,3.3879675582229587,1.1457648272098337,-11.692361597757534,-0.6034074775201028,14.107846244397159,-0.26666666666666666,Sell,Neutral,Strong Sell,Unavailable,Neutral / mixed technical bias,638.7023564696489,873.4776435303512,15.525617787611418,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-08,https://www.tradingview.com/symbols/NASDAQ-CASY/,2026-09-06T07:14:29+00:00
2026-09-24,Pre-market,DRI,"Darden Restaurants, Inc.",NYSE,United States,Aug/2026,2.05,9.0,9/18/2025,1.97,4.060913705583748,Forecast EPS broadly flat,24873560100.0,216.88,-0.532012474775269,620301.0,24624936525.0,169.0,229.7625,28.331360946745555,-5.606876666122629,51.59809931488537,Neutral,1.8215638288069442,2.740770930277839,Bearish,219.77099999999942,209.62279999999973,201.27435000000025,216.70133636291743,212.09725851879995,203.43624599130877,Positive / mixed,211.50569927944989,228.03630072054895,Lower third,44.43782280492647,39.23502171741872,25.912846896569103,28.875891117403455,17.523860919845102,-49.7144973605945,-4.719999999999999,220.04300481619254,5.619113683205097,2.5908860582834277,0.6900500132492059,5.36850799203225,11.22621672906302,6.454621312521477,0.04242424242424242,Neutral,Neutral,Buy,Sell,Neutral / mixed technical bias,191.1299862081505,242.63001379184948,11.872931479089575,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-24,https://www.tradingview.com/symbols/NYSE-DRI/,2026-09-06T07:14:29+00:00
2026-09-24,Time not supplied,SNX,TD SYNNEX Corporation,NYSE,United States,Aug/2026,4.38,5.0,9/25/2025,3.47,26.224783861671458,Forecast EPS growth,20991572000.0,262.64,0.04189997333638581,426107.0,21000366709.999996,142.22,296.47,84.67163549430458,-11.410935339157435,57.781665329384246,Neutral,1.0303094727763664,0.18116839522315106,Bullish,254.971,252.87199999999973,204.73426000000006,255.27366059653548,253.10768896409868,216.03243998639078,Bullish alignment,245.2108342227178,264.7311657772822,Upper third,72.80457799446643,57.28413970665232,10.209088615241967,25.87805140264181,17.040030450036067,160.27981939623413,12.5,255.67320598048093,7.652801675951136,2.9137989932802073,0.9697319341749221,-0.43595284127526973,-3.188469903055783,71.324200913242,0.5575757575757576,Strong Buy,Bullish,Strong Buy,Buy,Bullish technical bias,227.57045704146898,297.70954295853096,13.352704446592673,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-24,https://www.tradingview.com/symbols/NYSE-SNX/,2026-09-06T07:14:29+00:00
2026-09-23,Pre-market,GIS,"General Mills, Inc.",NYSE,United States,Aug/2026,0.71,6.0,9/17/2025,0.86,-17.44186046511628,Forecast EPS decline,20989552600.0,38.29,-2.47070809984717,7941849.0,20470964680.0,31.75,51.33,20.5984251968504,-25.40424702902786,45.970203336740035,Neutral,0.7345939624260822,0.945024682988149,Bearish,39.515000000000015,37.80099999999995,39.905949999999926,39.381318504462044,38.06286877334194,40.244318544244585,Mixed,37.06216898258323,41.9678310174168,Lower third,37.53687315634213,56.802383966708625,22.428338117416065,22.366294871992828,26.427289207431954,-57.60375190822086,-1.6799999999999997,39.54391898668203,1.1593929143676154,3.027926127886172,0.9160254443534528,5.250137438152821,17.85164666051092,-12.178899082568812,-0.2909090909090909,Sell,Neutral,Sell,Sell,Neutral / mixed technical bias,32.976994209714945,43.60300579028505,13.87570067977292,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-23,https://www.tradingview.com/symbols/NYSE-GIS/,2026-09-06T07:14:29+00:00
2026-09-16,After hours,LEN,Lennar Corporation,NYSE,United States,Aug/2026,1.31,6.0,9/18/2025,2.0,-34.5,Forecast EPS decline,20343595000.0,83.58,-1.0301953818827763,2328803.0,20091167100.0,79.825,142.61,4.70404008769183,-41.392609213940126,44.82336161248768,Neutral,-0.5667237472555229,-0.22047265944830455,Bearish,85.84200000000006,85.71620000000001,98.36219999999982,85.31698365770927,86.25881699406898,96.8133160261383,Negative / mixed,82.73693574946157,88.94706425053855,Lower third,16.413593637020966,11.23577029269593,7.5323601710093095,22.417857047019325,22.35840829757621,-132.95898381092252,-3.4399999999999977,85.77035892337112,2.3839565055779204,2.852304983941039,0.9667984374817075,-3.016941285681142,-7.656612529002327,-19.04300658659434,-0.4454545454545455,Sell,Bearish,Strong Sell,Neutral,Bearish technical bias,72.65533885970676,94.50466114029324,13.070903494009611,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-16,https://www.tradingview.com/symbols/NYSE-LEN/,2026-09-06T07:14:29+00:00
2026-09-16,After hours,LEN.B,Lennar Corporation,NYSE,United States,Aug/2026,,6.0,N/A,2.0,,Insufficient EPS comparison,20343595000.0,82.17,-0.8087880251086452,58828.0,20091167100.0,78.02,137.39,5.319148936170226,-40.192153722978375,45.32167516923199,Neutral,-0.5171126481452575,-0.17120639787232422,Bearish,84.29200000000009,84.06899999999997,93.95055000000006,83.7664270073373,84.54943060305412,93.28216891720994,Negative / mixed,81.15617092303519,87.42782907696498,Lower third,18.344172602456993,12.876363511235084,8.449094578946784,20.733416749110127,22.96942813894236,-120.27177431535635,-3.319999999999993,84.3632226902159,2.233876919948484,2.7186040160015628,0.9771265225039075,-3.261125500353186,-6.963315217391295,-16.033108522378907,-0.49090909090909096,Sell,Bearish,Strong Sell,Sell,Bearish technical bias,71.93308992112127,92.40691007887874,12.458208687938097,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-16,https://www.tradingview.com/symbols/NYSE-LEN.B/,2026-09-06T07:14:29+00:00
2026-10-05,Time not supplied,STZ,Constellation Brands Inc,NYSE,United States,Aug/2026,3.63,7.0,10/06/2025,3.63,0.0,Forecast EPS broadly flat,22045788200.0,128.18,-0.7049345417925451,1658065.0,16604846125.0,126.45,168.6,1.368129695531839,-23.973902728351113,38.832291502116576,Neutral,-1.2224202255267187,-0.646134624367585,Bearish,132.93950000000035,133.11740000000003,145.15450000000027,131.9459113283277,134.36381412112627,145.04549722991092,Bearish alignment,127.13945008644845,138.73954991355225,Lower third,7.399286725927589,8.182594821621178,9.818371374909285,22.976289032595997,25.53291545074265,-140.15120981230953,-7.47999999999999,132.56158591115724,2.9811220477528866,2.3257310405311955,0.8776456432371638,-2.5839793281653787,-7.657949715438366,-12.51706251706252,-0.4666666666666667,Sell,Bearish,Strong Sell,Unavailable,Bearish technical bias,114.51878256027065,141.84121743972938,10.657838539342613,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-10-05,https://www.tradingview.com/symbols/NYSE-STZ/,2026-09-06T07:14:29+00:00
2026-10-01,Pre-market,MKC.V,"McCormick & Company, Incorporated",NYSE,United States,Aug/2026,,1.0,N/A,0.85,,Insufficient EPS comparison,14136214500.0,52.19,-0.9489466691971913,3615.0,14003417424.0,44.3001,72.14,17.81011781011781,-27.654560576656507,41.65550130916448,Neutral,0.2597407296465093,0.6726755624317022,Bearish,54.20748999999997,52.65414599999999,57.09234950000004,53.70955714911217,52.73743510161757,56.46236759888848,Negative / mixed,51.95856421117939,56.45641578882055,Lower third,11.317857328871412,18.63700764570621,30.515251147652606,19.96143175836577,26.664149531973663,-157.84588381497107,-3.460000000000001,54.360471691382976,1.37167844678285,2.6282399823392413,0.928971578352264,-0.267532963883051,10.853865760407816,-19.223030490636127,-0.4,Sell,Bearish,Strong Sell,Unavailable,Bearish technical bias,45.90417968847813,58.475820311521865,12.044108663578973,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-10-01,https://www.tradingview.com/symbols/NYSE-MKC.V/,2026-09-06T07:14:29+00:00
2026-10-01,Pre-market,MKC,"McCormick & Company, Incorporated",NYSE,United States,Aug/2026,0.75,6.0,10/07/2025,0.85,-11.764705882352938,Forecast EPS decline,14136214500.0,52.08,-0.9509319132750096,2804370.0,14003417423.999998,44.82,72.41,16.198125836680056,-28.076232564562908,42.201328005330815,Neutral,0.23913712189860092,0.677270894596434,Bearish,54.35149999999999,52.854199999999956,57.116199999999935,53.820590732892825,52.84661065675891,56.47633992648147,Negative / mixed,52.040705547869074,56.6622944521309,Lower third,8.295860425719725,16.30036923765722,17.857035789570766,17.09148525646956,27.073573243280876,-168.4959786274129,-3.3299999999999983,54.36379594689887,1.456293482034367,2.7962624463025483,1.1791360814287024,-0.3444316877152693,10.737826918987874,-20.01228689909384,-0.4454545454545455,Sell,Bearish,Strong Sell,Neutral,Bearish technical bias,45.4064248845067,58.7535751154933,12.814084323143815,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-10-01,https://www.tradingview.com/symbols/NYSE-MKC/,2026-09-06T07:14:29+00:00
2026-09-09,After hours,COO,"The Cooper Companies, Inc. ",NASDAQ,United States,Jul/2026,1.11,7.0,8/27/2025,1.1,0.9090909090909097,Forecast EPS broadly flat,13776963600.0,69.59,-1.486409966024911,1957081.0,13572180437.000002,58.89,89.83,18.169468500594334,-22.531448291216737,37.25757873397048,Neutral,-0.876210877065347,-0.1486874495223823,Bearish,73.77949999999989,72.64519999999986,73.38297500000017,72.30726195193289,71.8820899467041,72.28806968928133,Negative / mixed,68.081600474729,79.47739952527077,Lower third,10.095976375046122,8.001305192953325,25.64695760730536,15.08746302973931,28.42770881781407,-102.30974916142493,-6.6299999999999955,73.77884963875707,1.5514135592851273,2.2293627809816456,1.2694174069295128,-6.8967823934711365,6.667688534641338,-9.623376623376618,-0.3333333333333333,Sell,Bearish,Strong Sell,Unavailable,Bearish technical bias,62.48052993039505,76.69947006960496,10.216223695365647,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-09,https://www.tradingview.com/symbols/NASDAQ-COO/,2026-09-06T07:14:29+00:00
2026-10-05,Time not supplied,JEF,Jefferies Financial Group Inc.,NYSE,United States,Aug/2026,0.87,2.0,9/29/2025,1.05,-17.142857142857146,Forecast EPS decline,10512478200.0,55.23,1.7876889052709157,1767718.0,12733401879.0,35.53,71.04,55.44610188573036,-22.255067567567576,56.863253348398054,Neutral,-0.3460696617662222,-0.5499725569523418,Bullish,53.63099999999996,54.00320000000002,53.51560000000005,53.71057917644929,54.0222497933443,53.87664169117709,Positive / mixed,51.097023678086885,56.16497632191303,Upper third,65.4240967680358,46.581583531559325,28.128589002044336,21.0922383078477,22.8653065677207,86.76509379128835,2.8999999999999986,53.77137296609749,1.6625793097917094,3.01028301609942,1.3236595920950542,-1.3750000000000056,0.637755102040806,33.470275495408394,0.5575757575757576,Strong Buy,Bullish,Strong Buy,Buy,Bullish technical bias,47.61110446401205,62.84889553598794,13.79484978451556,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-10-05,https://www.tradingview.com/symbols/NYSE-JEF/,2026-09-06T07:14:29+00:00
2026-09-30,Pre-market,FDS,FactSet Research Systems Inc.,NYSE,United States,Aug/2026,4.3,7.0,9/18/2025,4.05,6.17283950617284,Forecast EPS broadly flat,11130592300.0,301.96,-3.514826175869121,633305.0,10739371401.0,185.0,377.07,63.221621621621615,-19.919378364759865,56.777546248721144,Neutral,10.479244298804815,10.971882838066824,Bearish,296.3119999999993,272.7754,249.7278000000003,296.39670248126833,277.57565180942635,269.81487245700856,Bullish alignment,273.79293909591524,318.8310609040833,Middle third,72.25616434628431,78.4509476068602,30.360157710140722,31.905234729681165,18.183384467179103,46.9695106280182,2.0499999999999545,297.1690397186593,11.397542124018894,3.7745205073582246,0.7191932924881405,7.6314382463018955,17.225047556193953,35.56004489337822,0.17575757575757575,Buy,Neutral,Strong Buy,Sell,Neutral / mixed technical bias,249.72990048023564,354.1900995197643,17.297025937132187,Complete,https://www.nasdaq.com/market-activity/earnings?date=2026-09-30,https://www.tradingview.com/symbols/NYSE-FDS/,2026-09-06T07:14:29+00:00
